"sensorId","type","value","createdAt"
"28214043D4E13C35","TEMPERATURE",23.84,"2023-12-25 07:10:21.555+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34226.21,"2023-12-02 18:10:34.052+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.749,"2023-10-11 10:37:40.601+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.914,"2023-12-02 18:10:34.029+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",13,"2023-12-02 18:10:34.035+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.682,"2023-12-13 01:19:18.047+00"
"28214043D4E13C35","TEMPERATURE",13.84,"2023-12-13 01:19:18.108+00"
"286C3543D4E13CB5","TEMPERATURE",29.96,"2023-12-25 07:10:21.514+00"
"28A53A43D4E13CD3","TEMPERATURE",13.4,"2023-12-25 07:10:21.553+00"
"28D39E43D4E13CD5","TEMPERATURE",17.02,"2023-12-25 07:10:21.571+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2.5,"2023-10-11 10:37:40.625+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35111.925,"2023-12-08 00:07:47.214+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.964,"2023-10-07 05:58:58.936+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34085.323,"2023-12-25 07:10:21.576+00"
"28F64A43D4E13CC9","TEMPERATURE",26.9,"2023-12-08 00:07:47.194+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2,"2023-12-13 01:19:18.054+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",5.5,"2023-12-25 07:10:21.509+00"
"287C5E43D4E13C8F","TEMPERATURE",18.71,"2023-12-25 07:10:21.536+00"
"2812CE43D4E13CE8","TEMPERATURE",12.59,"2023-12-25 07:10:21.547+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.052,"2023-11-27 17:40:26.132+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.081,"2023-09-07 17:07:46.577+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.869,"2023-09-17 05:13:50.754+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",31,"2023-09-25 18:32:53.628+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.052,"2023-10-03 02:31:20.874+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",8,"2023-10-16 05:27:40.264+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",14,"2023-10-22 18:37:49.128+00"
"28182943D4E13CAC","TEMPERATURE",19.9,"2023-12-13 01:19:18.056+00"
"2812CE43D4E13CE8","TEMPERATURE",7.09,"2023-12-13 01:19:18.09+00"
"28351643D4E13CBB","TEMPERATURE",12.9,"2023-12-13 01:19:18.111+00"
"286C3543D4E13CB5","TEMPERATURE",23.96,"2023-12-13 01:19:18.065+00"
"28F64A43D4E13CC9","TEMPERATURE",19.9,"2023-12-13 01:19:18.102+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.081,"2023-09-07 17:25:39.231+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.864,"2023-09-17 05:31:44.639+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.097,"2023-12-28 03:21:27.313+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",13.5,"2023-09-29 09:51:15.434+00"
"2812CE43D4E13CE8","TEMPERATURE",7.09,"2023-12-28 03:21:27.35+00"
"28D39E43D4E13CD5","TEMPERATURE",9.02,"2023-12-13 01:19:18.112+00"
"28351643D4E13CBB","TEMPERATURE",14.4,"2023-12-28 03:21:27.379+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",7,"2023-10-07 05:58:58.958+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34422.508,"2023-12-28 03:21:27.332+00"
"286C3543D4E13CB5","TEMPERATURE",27.96,"2023-12-28 03:21:27.338+00"
